token_parameter=10; num_cycles=100000
distinct count; relative bias; relative rmse; min num iterations; mean num iterations; max num iterations
52.0; 2.4365969257598652E-4; 0.012636979528733331; 2; 3.15397; 4
54.0; 2.46698729213802E-4; 0.012657182567150971; 3; 3.20252; 4
56.0; 2.301946585894462E-4; 0.01268061406503965; 3; 3.2677; 4
58.0; 2.1392445288115821E-4; 0.0126878510403759; 3; 3.34369; 4
60.0; 2.158155849744236E-4; 0.012679194419109585; 3; 3.43592; 4
62.0; 2.3290100754415187E-4; 0.012679440912177677; 3; 3.50849; 4
65.0; 2.5173665518938567E-4; 0.012671908621337347; 3; 3.39946; 4
68.0; 2.535328462099365E-4; 0.012684480208129859; 3; 3.4716; 4
71.0; 2.6828225215505736E-4; 0.01267849270966601; 3; 3.27999; 4
74.0; 2.53235162636129E-4; 0.01270269115415384; 3; 3.2316; 5
77.0; 2.3948427199283373E-4; 0.012710387905548131; 3; 3.35365; 5
80.0; 2.2665639327461399E-4; 0.012709144652257337; 3; 3.37439; 5
84.0; 2.3285934852547478E-4; 0.012717381198661374; 3; 3.34651; 5
88.0; 2.4396018826829515E-4; 0.012695697419727365; 3; 3.3706; 5
92.0; 2.3796215427586951E-4; 0.012699737762366195; 3; 3.37782; 5
96.0; 2.5022209402105004E-4; 0.012709623460475382; 3; 3.38999; 5
100.0; 2.568221155275586E-4; 0.012726643976787355; 3; 3.39269; 5
104.0; 2.2963916852964764E-4; 0.01275859644648647; 3; 3.40174; 5
109.0; 2.3716437946453517E-4; 0.012735309817761043; 3; 3.40509; 5
114.0; 2.459626477059558E-4; 0.012730403392167518; 3; 3.42034; 5
119.0; 2.462506869393761E-4; 0.01276962439599064; 3; 3.41976; 5
124.0; 2.543213506163966E-4; 0.012764498867617867; 3; 3.42385; 5
130.0; 2.2990055295125415E-4; 0.012776264299284771; 3; 3.4266; 5
136.0; 2.2248153959737342E-4; 0.012810641370843754; 3; 3.36412; 5
142.0; 2.1378108014994762E-4; 0.012809153253758927; 3; 3.37036; 5
149.0; 2.1253714089673772E-4; 0.012814008153535695; 3; 3.37177; 5
156.0; 2.1909805184502847E-4; 0.012808758827841214; 3; 3.38755; 5
163.0; 2.0374605437278995E-4; 0.012818510783250404; 3; 3.39013; 5
171.0; 2.2212763355427954E-4; 0.012812690429894566; 3; 3.39542; 5
179.0; 2.464029621674529E-4; 0.012803788184639757; 3; 3.40408; 5
187.0; 2.472404976317201E-4; 0.012806921484226226; 3; 3.41295; 5
196.0; 2.4880186907322673E-4; 0.012776443834463878; 3; 3.42036; 5
205.0; 2.432625370772326E-4; 0.01279807938663825; 3; 3.42546; 5
215.0; 2.30539397904247E-4; 0.01281233275859467; 3; 3.43932; 5
225.0; 2.313346677429186E-4; 0.012820727717063489; 3; 3.44648; 5
236.0; 2.307996822938527E-4; 0.012820056097770765; 3; 3.45359; 5
247.0; 2.3189166581546035E-4; 0.012813064820197971; 3; 3.46395; 5
259.0; 2.362428124987587E-4; 0.01283237161499695; 3; 3.45342; 5
271.0; 2.303920095635437E-4; 0.012846965817308776; 3; 3.45483; 5
284.0; 2.4461425253619414E-4; 0.012883403213502986; 3; 3.4021; 5
298.0; 2.5688716520803136E-4; 0.012901489784815418; 3; 3.40428; 5
312.0; 2.660696596897325E-4; 0.012915367076971806; 3; 3.41601; 5
327.0; 2.4991491784175085E-4; 0.012905235175706648; 3; 3.42301; 5
343.0; 2.6492645722844306E-4; 0.012912789669500201; 3; 3.43294; 5
360.0; 2.816365757702066E-4; 0.012931300298921786; 3; 3.44374; 5
377.0; 2.7361751038662807E-4; 0.012929128858884012; 3; 3.45464; 5
395.0; 2.669606358288577E-4; 0.012925360668144533; 3; 3.46143; 5
414.0; 2.679316530793959E-4; 0.012955795538870605; 3; 3.47055; 5
434.0; 2.394352074204399E-4; 0.012958726688816563; 3; 3.48115; 5
455.0; 2.410413166751441E-4; 0.012976976020502354; 3; 3.49364; 5
477.0; 2.3618484739167296E-4; 0.012994200638451733; 3; 3.50595; 5
500.0; 2.0334853878677974E-4; 0.012995520494300533; 3; 3.51395; 5
525.0; 1.8508189478154017E-4; 0.013015181451119075; 3; 3.47865; 5
551.0; 1.8819937297087636E-4; 0.013051149317129421; 3; 3.4856; 5
578.0; 1.817873425794635E-4; 0.013089644123470237; 3; 3.49556; 5
606.0; 1.9207679620842087E-4; 0.013117061507509221; 3; 3.5024; 5
636.0; 1.8877459628116795E-4; 0.013126383450250747; 3; 3.45425; 5
667.0; 1.5892996291686583E-4; 0.013149792486229196; 3; 3.46188; 5
700.0; 1.667409382086596E-4; 0.013185856857978328; 3; 3.47197; 5
734.0; 1.6353442073473496E-4; 0.01319596233728803; 3; 3.47848; 5
770.0; 1.5990826887181685E-4; 0.01320594823945054; 3; 3.49114; 5
808.0; 1.663465867419776E-4; 0.013244238913282342; 3; 3.49925; 5
848.0; 1.7968922561155862E-4; 0.013286761218554089; 3; 3.51779; 6
890.0; 1.764520621282366E-4; 0.01333572510166448; 3; 3.53581; 6
934.0; 1.874085084242909E-4; 0.013341401128250092; 3; 3.54609; 6
980.0; 1.862552013063599E-4; 0.013378940561767748; 3; 3.56497; 6
1029.0; 1.9608115783444316E-4; 0.013427473193270345; 3; 3.63284; 6
1080.0; 1.9648034116173823E-4; 0.01345848996143438; 3; 3.76279; 6
